figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,368.21250000000015,368.21250000000015,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,315.89920000000023,315.89920000000023,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,302.02590000000026,302.02590000000026,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,303.76510000000036,303.76510000000036,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,329.68520000000001,329.68520000000001,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,299.73300000000023,299.73300000000023,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,288.52669999999983,288.52669999999983,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,455.08300000000042,455.08300000000042,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,369.14770000000073,369.14770000000073,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,405.40199999999976,405.40199999999976,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,415.18309999999985,415.18309999999985,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0.5,401.57650000000001,401.57650000000001,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1,378.56099999999986,378.56099999999986,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1.5,338.74761904761891,338.74761904761891,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2,346.30780881857942,346.30780881857942,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2.5,342.24400293658744,342.24400293658744,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3,336.11479356849014,336.11479356849014,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3.5,335.93716600000153,335.93716600000153,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4,340.67335799999847,340.67335799999847,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4.5,341.25312400000126,341.25312400000126,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5,341.99096400000087,341.99096400000087,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5.5,341.42470000000202,341.42470000000202,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6,336.38976599999904,336.38976599999904,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6.5,332.41313000000179,332.41313000000179,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7,322.99212000000136,322.99212000000136,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7.5,316.53914599999433,316.53914599999433,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8,318.21341600000221,318.21341600000221,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8.5,316.85845600000005,316.85845600000005,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9,316.21323999999987,316.21323999999987,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9.5,313.75338199999908,313.75338199999908,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,10,314.36482600000176,314.36482600000176,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-5,325.65000000000003,325.65000000000003,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-4.5,266.27339999999975,266.27339999999975,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-4,259.1226000000002,259.1226000000002,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-3.5,255.53620000000015,255.53620000000015,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-3,274.24819999999966,274.24819999999966,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-2.5,243.93740000000003,243.93740000000003,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-2,240.84220000000019,240.84220000000019,true,false,
rate_near_2_3__linear_time_varying_frequency__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-1.5,354.10159999999996,354.10159999999996,true,false,
