figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,294.29820000000012,294.29820000000012,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,294.08370000000014,294.08370000000014,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,299.62070000000028,299.62070000000028,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,285.71319999999974,285.71319999999974,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,307.51540000000011,307.51540000000011,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,304.71689999999967,304.71689999999967,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,325.91759999999999,325.91759999999999,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,326.1888000000007,326.1888000000007,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,325.13879999999972,325.13879999999972,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,342.05270000000002,342.05270000000002,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,342.49219999999985,342.49219999999985,true,false,
