figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,0.47460666666666668,0.47460666666666668,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,0.46636666666666665,0.46636666666666665,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,0.45570333333333335,0.45570333333333335,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,0.43947666666666668,0.43947666666666668,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,0.41532000000000002,0.41532000000000002,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,0.38610666666666665,0.38610666666666665,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,0.33705000000000002,0.33705000000000002,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,0.27228000000000002,0.27228000000000002,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,0.20374666666666666,0.20374666666666666,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,0.14051666666666668,0.14051666666666668,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,0.091886666666666672,0.091886666666666672,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0.5,0.059573333333333332,0.059573333333333332,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1,0.044749999999999998,0.044749999999999998,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1.5,0.036896666666666668,0.036896666666666668,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2,0.032566666666666667,0.032566666666666667,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2.5,0.029770000000000001,0.029770000000000001,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3,0.027876666666666668,0.027876666666666668,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3.5,0.026403333333333334,0.026403333333333334,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4,0.025626666666666666,0.025626666666666666,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4.5,0.024793333333333334,0.024793333333333334,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5,0.023996666666666666,0.023996666666666666,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5.5,0.023416666666666665,0.023416666666666665,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6,0.022906666666666665,0.022906666666666665,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6.5,0.022679999999999999,0.022679999999999999,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7,0.022383333333333335,0.022383333333333335,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7.5,0.022186666666666667,0.022186666666666667,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8,0.022030000000000001,0.022030000000000001,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8.5,0.021843333333333333,0.021843333333333333,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9,0.021669999999999998,0.021669999999999998,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9.5,0.021649999999999999,0.021649999999999999,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,10,0.021423333333333332,0.021423333333333332,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-5,0.22887666666666667,0.22887666666666667,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-4.5,0.21549666666666667,0.21549666666666667,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-4,0.20186000000000001,0.20186000000000001,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-3.5,0.18829333333333334,0.18829333333333334,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-3,0.17422000000000001,0.17422000000000001,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-2.5,0.15903333333333333,0.15903333333333333,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-2,0.14363666666666666,0.14363666666666666,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-1.5,0.1285,0.1285,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-1,0.11380666666666667,0.11380666666666667,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,-0.5,0.099546666666666672,0.099546666666666672,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,0,0.085779999999999995,0.085779999999999995,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,0.5,0.07316333333333333,0.07316333333333333,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,1,0.061850000000000002,0.061850000000000002,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,1.5,0.052406666666666664,0.052406666666666664,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,2,0.04481333333333333,0.04481333333333333,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,2.5,0.039070000000000001,0.039070000000000001,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,3,0.034526666666666664,0.034526666666666664,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,3.5,0.031109999999999999,0.031109999999999999,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,4,0.028586666666666666,0.028586666666666666,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,4.5,0.02682,0.02682,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,5,0.02555,0.02555,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,5.5,0.024416666666666666,0.024416666666666666,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,6,0.02351,0.02351,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,6.5,0.022790000000000001,0.022790000000000001,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,7,0.022079999999999999,0.022079999999999999,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,7.5,0.021683333333333332,0.021683333333333332,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,8,0.021219999999999999,0.021219999999999999,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,8.5,0.020896666666666668,0.020896666666666668,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,9,0.020553333333333333,0.020553333333333333,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,9.5,0.020240000000000001,0.020240000000000001,true,false,
rate_near_2_3__unknown_burst_5_percent_isr_10db__ber,S5_FORMAL_20260802,BER,LDPC_BG2_N480_NMS,LDPC N480,10,0.019953333333333333,0.019953333333333333,true,false,
