figureId,series,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
bch_10_max_time,分组 BCH-S200,-5.000000,100.7,100.7,true,false,
bch_10_max_time,分组 BCH-S200,-4.500000,1216.0999999999999,1216.0999999999999,true,false,
bch_10_max_time,分组 BCH-S200,-4.000000,67.400000000000006,67.400000000000006,true,false,
bch_10_max_time,分组 BCH-S200,-3.500000,90.200000000000003,90.200000000000003,true,false,
bch_10_max_time,分组 BCH-S200,-3.000000,265.39999999999998,265.39999999999998,true,false,
bch_10_max_time,分组 BCH-S200,-2.500000,2097,2097,true,false,
bch_10_max_time,分组 BCH-S200,-2.000000,263.19999999999999,263.19999999999999,true,false,
bch_10_max_time,分组 BCH-S200,-1.500000,139.19999999999999,139.19999999999999,true,false,
bch_10_max_time,分组 BCH-S200,-1.000000,303.10000000000002,303.10000000000002,true,false,
bch_10_max_time,分组 BCH-S200,-0.500000,608.60000000000002,608.60000000000002,true,false,
bch_10_max_time,分组 BCH-S200,0.000000,4452.5,4452.5,true,false,
bch_10_max_time,分组 BCH-S200,0.500000,45.600000000000001,45.600000000000001,true,false,
bch_10_max_time,分组 BCH-S200,1.000000,177.40000000000001,177.40000000000001,true,false,
bch_10_max_time,分组 BCH-S200,1.500000,1611.8,1611.8,true,false,
bch_10_max_time,分组 BCH-S200,2.000000,74,74,true,false,
bch_10_max_time,分组 BCH-S200,2.500000,117.5,117.5,true,false,
bch_10_max_time,分组 BCH-S200,3.000000,2371.5,2371.5,true,false,
bch_10_max_time,分组 BCH-S200,3.500000,259.30000000000001,259.30000000000001,true,false,
bch_10_max_time,分组 BCH-S200,4.000000,202.40000000000001,202.40000000000001,true,false,
bch_10_max_time,分组 BCH-S200,4.500000,2832.9000000000001,2832.9000000000001,true,false,
bch_10_max_time,分组 BCH-S200,5.000000,336,336,true,false,
bch_10_max_time,分组 BCH-S200,5.500000,1265.9000000000001,1265.9000000000001,true,false,
bch_10_max_time,分组 BCH-S200,6.000000,4742.6999999999998,4742.6999999999998,true,false,
bch_10_max_time,分组 BCH-S200,6.500000,12295.9,12295.9,true,false,
bch_10_max_time,分组 BCH-S200,7.000000,25240.299999999999,25240.299999999999,true,false,
bch_10_max_time,分组 BCH-S200,7.500000,16653.900000000001,16653.900000000001,true,false,
bch_10_max_time,分组 BCH-S200,8.000000,209.69999999999999,209.69999999999999,true,false,
bch_10_max_time,分组 BCH-S200,8.500000,1254.3,1254.3,true,false,
bch_10_max_time,分组 BCH-S200,9.000000,221.30000000000001,221.30000000000001,true,false,
bch_10_max_time,分组 BCH-S200,9.500000,487.60000000000002,487.60000000000002,true,false,
bch_10_max_time,分组 BCH-S200,10.000000,1752,1752,true,false,
bch_10_max_time,整块 BCH-B200,-5.000000,108.90000000000001,108.90000000000001,true,false,
bch_10_max_time,整块 BCH-B200,-4.500000,62.100000000000001,62.100000000000001,true,false,
bch_10_max_time,整块 BCH-B200,-4.000000,70.799999999999997,70.799999999999997,true,false,
bch_10_max_time,整块 BCH-B200,-3.500000,78.200000000000003,78.200000000000003,true,false,
bch_10_max_time,整块 BCH-B200,-3.000000,90.5,90.5,true,false,
bch_10_max_time,整块 BCH-B200,-2.500000,53.200000000000003,53.200000000000003,true,false,
bch_10_max_time,整块 BCH-B200,-2.000000,53.600000000000001,53.600000000000001,true,false,
bch_10_max_time,整块 BCH-B200,-1.500000,96,96,true,false,
bch_10_max_time,整块 BCH-B200,-1.000000,33.399999999999999,33.399999999999999,true,false,
bch_10_max_time,整块 BCH-B200,-0.500000,74.099999999999994,74.099999999999994,true,false,
bch_10_max_time,整块 BCH-B200,0.000000,35,35,true,false,
bch_10_max_time,整块 BCH-B200,0.500000,237.80000000000001,237.80000000000001,true,false,
bch_10_max_time,整块 BCH-B200,1.000000,36.399999999999999,36.399999999999999,true,false,
bch_10_max_time,整块 BCH-B200,1.500000,53.299999999999997,53.299999999999997,true,false,
bch_10_max_time,整块 BCH-B200,2.000000,59.799999999999997,59.799999999999997,true,false,
bch_10_max_time,整块 BCH-B200,2.500000,180.80000000000001,180.80000000000001,true,false,
bch_10_max_time,整块 BCH-B200,3.000000,655.29999999999995,655.29999999999995,true,false,
bch_10_max_time,整块 BCH-B200,3.500000,273.10000000000002,273.10000000000002,true,false,
bch_10_max_time,整块 BCH-B200,4.000000,5233.3000000000002,5233.3000000000002,true,false,
bch_10_max_time,整块 BCH-B200,4.500000,2991.6999999999998,2991.6999999999998,true,false,
bch_10_max_time,整块 BCH-B200,5.000000,12843.6,12843.6,true,false,
bch_10_max_time,整块 BCH-B200,5.500000,10343.799999999999,10343.799999999999,true,false,
bch_10_max_time,整块 BCH-B200,6.000000,23499.900000000001,23499.900000000001,true,false,
bch_10_max_time,整块 BCH-B200,6.500000,428.10000000000002,428.10000000000002,true,false,
bch_10_max_time,整块 BCH-B200,7.000000,550,550,true,false,
bch_10_max_time,整块 BCH-B200,7.500000,504.80000000000001,504.80000000000001,true,false,
bch_10_max_time,整块 BCH-B200,8.000000,363.19999999999999,363.19999999999999,true,false,
bch_10_max_time,整块 BCH-B200,8.500000,793.60000000000002,793.60000000000002,true,false,
bch_10_max_time,整块 BCH-B200,9.000000,17400.700000000001,17400.700000000001,true,false,
bch_10_max_time,整块 BCH-B200,9.500000,25810.5,25810.5,true,false,
bch_10_max_time,整块 BCH-B200,10.000000,27491.400000000001,27491.400000000001,true,false,
