figureId,series,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
cc_02_block_fer,整块硬判决,-5.0,1,1,true,false,
cc_02_block_fer,整块硬判决,-4.5,1,1,true,false,
cc_02_block_fer,整块硬判决,-4.0,1,1,true,false,
cc_02_block_fer,整块硬判决,-3.5,1,1,true,false,
cc_02_block_fer,整块硬判决,-3.0,1,1,true,false,
cc_02_block_fer,整块硬判决,-2.5,1,1,true,false,
cc_02_block_fer,整块硬判决,-2.0,0.999,0.999,true,false,
cc_02_block_fer,整块硬判决,-1.5,0.98899999999999999,0.98899999999999999,true,false,
cc_02_block_fer,整块硬判决,-1.0,0.94899999999999995,0.94899999999999995,true,false,
cc_02_block_fer,整块硬判决,-0.5,0.82199999999999995,0.82199999999999995,true,false,
cc_02_block_fer,整块硬判决,0.0,0.60299999999999987,0.60299999999999987,true,false,
cc_02_block_fer,整块硬判决,0.5,0.35599999999999993,0.35599999999999993,true,false,
cc_02_block_fer,整块硬判决,1.0,0.1895734597156398,0.1895734597156398,true,false,
cc_02_block_fer,整块硬判决,1.5,0.079302141157811201,0.079302141157811201,true,false,
cc_02_block_fer,整块硬判决,2.0,0.0284131268646114,0.0284131268646114,true,false,
cc_02_block_fer,整块硬判决,2.5,0.0097646714188067002,0.0097646714188067002,true,false,
cc_02_block_fer,整块硬判决,3.0,0.0024599999999999002,0.0024599999999999002,true,false,
cc_02_block_fer,整块硬判决,3.5,0.00058,0.00058,true,false,
cc_02_block_fer,整块硬判决,4.0,0.0001,0.0001,true,false,
cc_02_block_fer,整块硬判决,4.5,2.0000000000000002e-05,2.0000000000000002e-05,true,false,
cc_02_block_fer,整块硬判决,5.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,5.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,6.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,6.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,7.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,7.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,8.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,8.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,9.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,9.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块硬判决,10.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,-5.0,1,1,true,false,
cc_02_block_fer,整块浮点软判决,-4.5,1,1,true,false,
cc_02_block_fer,整块浮点软判决,-4.0,1,1,true,false,
cc_02_block_fer,整块浮点软判决,-3.5,0.997,0.997,true,false,
cc_02_block_fer,整块浮点软判决,-3.0,0.97099999999999997,0.97099999999999997,true,false,
cc_02_block_fer,整块浮点软判决,-2.5,0.86499999999999988,0.86499999999999988,true,false,
cc_02_block_fer,整块浮点软判决,-2.0,0.63300000000000001,0.63300000000000001,true,false,
cc_02_block_fer,整块浮点软判决,-1.5,0.39100000000000001,0.39100000000000001,true,false,
cc_02_block_fer,整块浮点软判决,-1.0,0.18315018315018311,0.18315018315018311,true,false,
cc_02_block_fer,整块浮点软判决,-0.5,0.059382422802850297,0.059382422802850297,true,false,
cc_02_block_fer,整块浮点软判决,0.0,0.017593244194229401,0.017593244194229401,true,false,
cc_02_block_fer,整块浮点软判决,0.5,0.0051203277009727998,0.0051203277009727998,true,false,
cc_02_block_fer,整块浮点软判决,1.0,0.0012199999999999,0.0012199999999999,true,false,
cc_02_block_fer,整块浮点软判决,1.5,0.00024000000000000001,0.00024000000000000001,true,false,
cc_02_block_fer,整块浮点软判决,2.0,2.0000000000000002e-05,2.0000000000000002e-05,true,false,
cc_02_block_fer,整块浮点软判决,2.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,3.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,3.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,4.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,4.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,5.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,5.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,6.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,6.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,7.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,7.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,8.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,8.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,9.0,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,9.5,0,,false,true,6.0000000000000002e-05
cc_02_block_fer,整块浮点软判决,10.0,0,,false,true,6.0000000000000002e-05
