figureId,series,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
cc_07_first_output,B_CONT_50x6 浮点软判决,-5.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-4.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-4.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-3.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-3.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-2.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-2.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-1.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-1.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,-0.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,0.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,0.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,1.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,1.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,2.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,2.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,3.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,3.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,4.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,4.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,5.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,5.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,6.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,6.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,7.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,7.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,8.0,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,8.5,298,298,true,false,
cc_07_first_output,B_CONT_50x6 浮点软判决,9.0,298,298,true,false,
