scheme,rank,method,parameter,fairnessGroupId,spanBits,bufferBits,meanFer,overallMeanFer,worstPositionFer,worstPosition,bufferFraction,deinterleaveTimeMeanNs,decodeTimeMeanNs,score,paretoOptimal
BCH,1,ROW_COLUMN,15,FULL_FRAME_285,285,285,0.4013888888888888,0.6009259259259259,0.47500000000000003,MIDDLE,1.0,288.7962962962963,7977.685185185187,0.15655512778505892,True
BCH,2,ROW_COLUMN,19,FULL_FRAME_285,285,285,0.44027777777777777,0.6268518518518521,0.46666666666666673,TAIL,1.0,301.4814814814815,8097.592592592595,0.19132028596363732,True
BCH,3,BCH_CODEBLOCK,19,LOCAL_SPAN_285,285,285,0.44027777777777777,0.6268518518518521,0.46666666666666673,TAIL,1.0,337.8703703703704,12766.018518518518,0.22995069225459408,False
BCH,4,BCH_CODEBLOCK,16,LOCAL_SPAN_240,240,240,0.5499999999999999,0.7000000000000001,1.0,TAIL,0.8421052631578947,295.2777777777778,7579.444444444446,0.5343680955192426,True
BCH,5,ROW_COLUMN,8,FULL_FRAME_285,285,285,0.6875,0.7916666666666669,0.7083333333333334,TAIL,1.0,428.33333333333326,7488.888888888889,0.6271207946635732,False
BCH,6,BCH_CODEBLOCK,8,LOCAL_SPAN_120,120,120,0.7472222222222222,0.8314814814814816,1.0,TAIL,0.42105263157894735,361.48148148148147,9858.055555555557,0.6732785261435801,True
BCH,7,GLOBAL_PSEUDORANDOM,285,FULL_FRAME_285,285,285,0.797222222222222,0.8648148148148147,1.0,THREE_QUARTER,1.0,287.03703703703707,7964.444444444446,0.7145011600928074,True
BCH,8,BCH_CODEBLOCK,4,LOCAL_SPAN_60,60,60,1.0,1.0,1.0,HEAD,0.21052631578947367,301.57407407407413,7242.7777777777765,0.747011450644961,True
BCH,9,NONE,0,IDENTITY,1,0,0.9305555555555555,0.9537037037037036,1.0,HEAD,0.0,406.75925925925924,8885.185185185184,0.7806932732862403,True
BCH,10,ROW_COLUMN,4,FULL_FRAME_285,285,285,1.0,1.0,1.0,HEAD,1.0,372.3148148148148,9681.296296296297,0.9405307994757536,False
CC,1,PSEUDORANDOM,128,TRELLIS_SPAN_128,256,256,0.5527777777777777,0.8509259259259259,0.9333333333333333,TAIL,0.41830065359477125,310.18518518518516,268622.22222222225,0.25,True
CC,2,SHORT_DEPTH_BLOCK,8,TRELLIS_SPAN_64,128,128,0.6777777777777779,0.8925925925925928,0.9,THREE_QUARTER,0.20915032679738563,437.3148148148149,287050.74074074073,0.33680124223602503,True
CC,3,SHORT_DEPTH_BLOCK,16,TRELLIS_SPAN_128,256,256,0.8222222222222224,0.940740740740741,1.0,TAIL,0.41830065359477125,320.3703703703703,270421.8518518519,0.7030112687907426,False
CC,4,NONE,0,IDENTITY,2,0,1.0,1.0,1.0,HEAD,0.0,325.0,278018.3333333333,0.7174799708667152,True
CC,5,PSEUDORANDOM,64,TRELLIS_SPAN_64,128,128,0.8777777777777777,0.9592592592592593,1.0,THREE_QUARTER,0.20915032679738563,355.00000000000006,276723.2407407408,0.7185601416854781,True
CC,6,SHORT_DEPTH_BLOCK,4,TRELLIS_SPAN_32,64,64,0.9972222222222222,0.9990740740740741,1.0,HEAD,0.10457516339869281,320.18518518518516,271128.7962962964,0.7468145082853433,True
CC,7,PSEUDORANDOM,32,TRELLIS_SPAN_32,64,64,0.9944444444444445,0.9981481481481482,1.0,HEAD,0.10457516339869281,361.48148148148147,267269.8148148149,0.7930554550266226,True
