scheme,configurationId,method,parameter,comparisonRole,engineeringComparisonGroup,controlledComparisonGroup,pureMethodDifferenceAllowed,fairnessGroupId,spanBits,spanTrellisSteps,bufferBits,mappingHash,EsN0Db,sigmaSquared,burstRatioRequested,burstLengthBits,burstRatioActual,burstPositionType,framesProcessed,totalBits,bitErrors,frameErrors,BER,FER,berZeroUpperBound,ferZeroUpperBound,affectedBlocksMean,maximumErrorsInBlock,correctedBlocksMean,detectedFailureFrames,undetectedFrameErrors,miscorrectedBlocks,decodeTimeMeanNs,decodeTimeMedianNs,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,interleaveTimeMeanNs,interleaveTimeP95Ns,interleaveTimeMaxNs,deinterleaveTimeMeanNs,deinterleaveTimeP95Ns,deinterleaveTimeMaxNs,payloadChecksum,noiseChecksum,burstStartChecksum,frameSequenceHash,configHash
CC,CC_NONE,NONE,0,BASELINE,,,false,IDENTITY,2,1,0,930c628ef19cfe636f19e9bd17a208f84b3824a7793f7cb8944fa2ef6689ab1b,-5,1.5811388300841895,0.02,12,0.019607843137254902,HEAD,1000,300000,123181,1000,0.41060333333333332,1,0,0,0,0,0,0,0,0,259695.60000000001,237600,375700,459300,627700,637.29999999999995,1100,13900,375.60000000000002,800,4100,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,f0e1f6e82903f8c98fe871ea9b05e156da4305fdff95aa37c325c0289bf10f6f,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_SHORT_D8_RECOMMENDED,SHORT_DEPTH_BLOCK,8,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,,false,TRELLIS_SPAN_64,128,64,128,b7d385c52389b6b9c08ec711d00560da23211bef91faf1c565065d7b79b1e1c3,-5,1.5811388300841895,0.02,12,0.019607843137254902,HEAD,1000,300000,124790,1000,0.41596666666666665,1,0,0,0,0,0,0,0,0,260222.20000000001,237800,365000,458500,767500,630.79999999999995,1000,20700,368.19999999999999,800,10300,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,f0e1f6e82903f8c98fe871ea9b05e156da4305fdff95aa37c325c0289bf10f6f,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_PSEUDO_128_RECOMMENDED,PSEUDORANDOM,128,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,df42d59b270213241d518cbef367df079ed36681f26f5709d3c18cc77508e730,-5,1.5811388300841895,0.02,12,0.019607843137254902,HEAD,1000,300000,121748,1000,0.40582666666666667,1,0,0,0,0,0,0,0,0,260121,238100,379100,442700,564300,620.29999999999995,1100,3200,383.19999999999999,900,4400,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,f0e1f6e82903f8c98fe871ea9b05e156da4305fdff95aa37c325c0289bf10f6f,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_SHORT_D16_CONTROL_128,SHORT_DEPTH_BLOCK,16,CONTROLLED_EQUAL_SPAN_128,,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,47501f16671af7f35e1a78086a23e32c474416bf869619f297754ae6eeec45b6,-5,1.5811388300841895,0.02,12,0.019607843137254902,HEAD,1000,300000,123681,1000,0.41227000000000003,1,0,0,0,0,0,0,0,0,261561.70000000001,237800,370800,491900,839900,645.20000000000005,1100,14800,408.10000000000002,1000,3000,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,f0e1f6e82903f8c98fe871ea9b05e156da4305fdff95aa37c325c0289bf10f6f,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_NONE,NONE,0,BASELINE,,,false,IDENTITY,2,1,0,930c628ef19cfe636f19e9bd17a208f84b3824a7793f7cb8944fa2ef6689ab1b,-5,1.5811388300841895,0.02,12,0.019607843137254902,QUARTER,1000,300000,120200,1000,0.40066666666666667,1,0,0,0,0,0,0,0,0,273176.70000000001,236900,387500,608500,2027100,1048.4000000000001,1200,200000,342.89999999999998,600,1300,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,39c5d52c01ce879d96dd95c00c6a468a870b6ee6a31fc4ee755083ab940c1116,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_SHORT_D8_RECOMMENDED,SHORT_DEPTH_BLOCK,8,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,,false,TRELLIS_SPAN_64,128,64,128,b7d385c52389b6b9c08ec711d00560da23211bef91faf1c565065d7b79b1e1c3,-5,1.5811388300841895,0.02,12,0.019607843137254902,QUARTER,1000,300000,123133,1000,0.41044333333333333,1,0,0,0,0,0,0,0,0,274627.5,236700,407100,625100,1512800,617,1100,3200,448.60000000000002,600,110600,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,39c5d52c01ce879d96dd95c00c6a468a870b6ee6a31fc4ee755083ab940c1116,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_PSEUDO_128_RECOMMENDED,PSEUDORANDOM,128,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,df42d59b270213241d518cbef367df079ed36681f26f5709d3c18cc77508e730,-5,1.5811388300841895,0.02,12,0.019607843137254902,QUARTER,1000,300000,122571,1000,0.40856999999999999,1,0,0,0,0,0,0,0,0,273843.09999999998,236400,388700,617100,1861400,664.29999999999995,1200,13300,336.30000000000001,600,1500,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,39c5d52c01ce879d96dd95c00c6a468a870b6ee6a31fc4ee755083ab940c1116,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_SHORT_D16_CONTROL_128,SHORT_DEPTH_BLOCK,16,CONTROLLED_EQUAL_SPAN_128,,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,47501f16671af7f35e1a78086a23e32c474416bf869619f297754ae6eeec45b6,-5,1.5811388300841895,0.02,12,0.019607843137254902,QUARTER,1000,300000,123586,1000,0.41195333333333334,1,0,0,0,0,0,0,0,0,273434,237500,392000,581900,2251800,644.5,1100,9800,380.80000000000001,800,11000,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,39c5d52c01ce879d96dd95c00c6a468a870b6ee6a31fc4ee755083ab940c1116,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_NONE,NONE,0,BASELINE,,,false,IDENTITY,2,1,0,930c628ef19cfe636f19e9bd17a208f84b3824a7793f7cb8944fa2ef6689ab1b,-5,1.5811388300841895,0.02,12,0.019607843137254902,MIDDLE,1000,300000,119784,1000,0.39928000000000002,1,0,0,0,0,0,0,0,0,253632,233000,358600,417500,489700,589.10000000000002,1100,1800,326.69999999999999,600,12900,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,05ef1f09fc1b0e1a83db2032a6ea84c4e48771f63030ca60ca9e22010fea1cd8,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
CC,CC_SHORT_D8_RECOMMENDED,SHORT_DEPTH_BLOCK,8,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,,false,TRELLIS_SPAN_64,128,64,128,b7d385c52389b6b9c08ec711d00560da23211bef91faf1c565065d7b79b1e1c3,-5,1.5811388300841895,0.02,12,0.019607843137254902,MIDDLE,1000,300000,122079,1000,0.40693000000000001,1,0,0,0,0,0,0,0,0,254519.10000000001,233100,359400,458400,1022600,579.29999999999995,1000,1800,302.89999999999998,500,2000,08ec7ceefd5edddc416430cf958972d88028591172aa30858db77bb3b3d6f815,ac9e56be9674b2959aee8a068a31aafed2b056ef958164a35928f0eb9c7493f3,05ef1f09fc1b0e1a83db2032a6ea84c4e48771f63030ca60ca9e22010fea1cd8,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,bc6830db87407420c2fe2f2e1292fac674218423ab9ecdddf7e0933adf540c5e
