scheme,configurationId,method,parameter,comparisonRole,engineeringComparisonGroup,controlledComparisonGroup,pureMethodDifferenceAllowed,fairnessGroupId,spanBits,spanTrellisSteps,bufferBits,mappingHash,workpointRole,EsN0Db,sigmaSquared,burstRatioRequested,burstLengthBits,burstRatioActual,burstStart,burstEnd,framesProcessed,totalBits,bitErrors,frameErrors,BER,FER,payloadChecksum,noiseChecksum,frameSequenceHash,configHash
CC,CC_NONE,NONE,0,BASELINE,,,false,IDENTITY,2,1,0,930c628ef19cfe636f19e9bd17a208f84b3824a7793f7cb8944fa2ef6689ab1b,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,0,31,200,60000,24779,200,0.41298333333333331,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_SHORT_D8_RECOMMENDED,SHORT_DEPTH_BLOCK,8,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,,false,TRELLIS_SPAN_64,128,64,128,b7d385c52389b6b9c08ec711d00560da23211bef91faf1c565065d7b79b1e1c3,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,0,31,200,60000,25711,200,0.42851666666666666,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_PSEUDO_128_RECOMMENDED,PSEUDORANDOM,128,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,df42d59b270213241d518cbef367df079ed36681f26f5709d3c18cc77508e730,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,0,31,200,60000,25762,200,0.42936666666666667,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_SHORT_D16_CONTROL_128,SHORT_DEPTH_BLOCK,16,CONTROLLED_EQUAL_SPAN_128,,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,47501f16671af7f35e1a78086a23e32c474416bf869619f297754ae6eeec45b6,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,0,31,200,60000,25771,200,0.42951666666666666,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_NONE,NONE,0,BASELINE,,,false,IDENTITY,2,1,0,930c628ef19cfe636f19e9bd17a208f84b3824a7793f7cb8944fa2ef6689ab1b,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,1,32,200,60000,24682,200,0.41136666666666666,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_SHORT_D8_RECOMMENDED,SHORT_DEPTH_BLOCK,8,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,,false,TRELLIS_SPAN_64,128,64,128,b7d385c52389b6b9c08ec711d00560da23211bef91faf1c565065d7b79b1e1c3,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,1,32,200,60000,25718,200,0.42863333333333331,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_PSEUDO_128_RECOMMENDED,PSEUDORANDOM,128,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,df42d59b270213241d518cbef367df079ed36681f26f5709d3c18cc77508e730,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,1,32,200,60000,25790,200,0.42983333333333335,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_SHORT_D16_CONTROL_128,SHORT_DEPTH_BLOCK,16,CONTROLLED_EQUAL_SPAN_128,,CC_EQUAL_SPAN_128,false,TRELLIS_SPAN_128,256,128,256,47501f16671af7f35e1a78086a23e32c474416bf869619f297754ae6eeec45b6,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,1,32,200,60000,25804,200,0.43006666666666665,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_NONE,NONE,0,BASELINE,,,false,IDENTITY,2,1,0,930c628ef19cfe636f19e9bd17a208f84b3824a7793f7cb8944fa2ef6689ab1b,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,2,33,200,60000,24765,200,0.41275000000000001,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
CC,CC_SHORT_D8_RECOMMENDED,SHORT_DEPTH_BLOCK,8,RECOMMENDED_ENGINEERING_CONFIGURATION,CC_RECOMMENDED_ENGINEERING_CONFIG,,false,TRELLIS_SPAN_64,128,64,128,b7d385c52389b6b9c08ec711d00560da23211bef91faf1c565065d7b79b1e1c3,LOW,-5,1.5811388300841895,0.050000000000000003,31,0.050653594771241831,2,33,200,60000,25647,200,0.42745,1,58bf44d46fa6e89f29d3c56d31c0a878ab4828f525bd344b477c78c4c9a8871e,71c67e2f41b4a32d75aa838b44a728b20c5a5e90d0446458fe82def751be7087,22cd66eafbd9b7df4b5765b4397345822e980cd168659dcdf3431f18336b95d3,d5e8479688e461251dba53d24c4ac102b24fb82a9e99b5a8b7afd67f12004b45
