scheme,configurationId,comparisonRole,channelCondition,interleaver,payloadBits,encodedBits,actualRate,baseGraph,liftingSize,algorithm,alpha,maxIterations,EsN0Db,frames,bitErrors,frameErrors,BER,FER,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgIterations,edgeCount,avgEdgeMessageUpdates,avgTheoreticalOperationCount,decoderMemoryBytes,sourceCsvAbsolutePath,sourceRowNumber,sourceConfigurationId,sourceStage,sourceSha256,interpolated,synthetic
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-5.0,1000,67102,1000,0.22367333333333334,1.0,1796.3176,1756.4499999999998,2462.5449999999996,4682.5,32.0,2240,71680.0,472837.642,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,126,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-4.5,1000,62032,1000,0.20677333333333334,1.0,1798.753,1745.8000000000002,2526.425,4589.3,32.0,2240,71680.0,472951.618,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,128,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-4.0,1000,56456,1000,0.18818666666666667,1.0,1779.3644,1741.9499999999998,2528.3149999999996,5350.3,32.0,2240,71680.0,473101.168,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,130,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-3.5,1000,50204,999,0.16734666666666667,0.999,1801.5378999999998,1747.1999999999998,2584.3199999999997,7650.2,31.988,2240,71653.12,473151.107,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,132,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-3.0,1000,42630,993,0.1421,0.993,1686.9538,1689.7,2323.68,7311.5,31.878,2240,71406.72,471846.324,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,134,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-2.5,1000,31878,923,0.10626,0.923,1627.0228,1683.6,2332.6899999999996,4794.2,30.681,2240,68725.44,454554.601,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,136,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-2.0,1000,17743,653,0.05914333333333333,0.653,1329.0442,1470.15,2208.8099999999995,10501.7,24.899,2240,55773.76,369250.184,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,138,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-1.5,1000,5557,255,0.018523333333333333,0.255,784.7021,485.79999999999995,1954.7299999999996,3666.2,14.812,2240,33178.88,219827.985,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,140,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-1.0,5429,3943,245,0.002420949223306932,0.04512801620924664,359.6671210167618,268.6,1059.8999999999992,5185.5,7.281083072389022,2240,16309.62608215141,108094.44593847854,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,142,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,-0.5,41453,2226,200,0.00017899790123754615,0.004824741273249222,234.31401346102817,210.0,421.5400000000002,10656.0,4.5024726799025405,2240,10085.53880298169,66848.27954550937,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,144,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
