scheme,configurationId,EsN0Db,BER,FER,decodeTimeMeanNs,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,framesProcessed,sourceCsvAbsolutePath,sourceStage,sourceConfigurationId,sourceRowKey,snrMapping,interpolated,synthetic
BCH,NO_BURST_AWGN,-3.0102999566398121,0.18171499999999999,1,8925,13700,18000,58800,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_0,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,-2.5102999566398121,0.16428000000000001,1,8401,12500,17000,38400,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_1,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,-2.0102999566398121,0.147005,1,7445,10000,14700,33900,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_2,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,-1.5102999566398121,0.12745500000000001,1,8540,12400,14800,49600,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_3,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,-1.0102999566398121,0.10949,1,8139,11400,15100,67100,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_4,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,-0.51029995663981209,0.091649999999999995,1,8504,12100,18900,104000,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_5,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,-0.010299956639812091,0.074510000000000007,1,8665,12200,19900,78900,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_6,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,0.48970004336018791,0.05747,0.997,8119,11900,16700,80600,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_7,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,0.98970004336018791,0.044104999999999998,0.98099999999999998,7709,10900,17000,283200,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_8,EsN0Db=snrDb-10log10(2),false,false
BCH,NO_BURST_AWGN,1.4897000433601879,0.032930000000000001,0.95499999999999996,8536,11700,17500,299000,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv,BCH_S1_stage07_awgn_dense_formal,K200_S15,stage07_awgn_dense_formal_K200_S15_9,EsN0Db=snrDb-10log10(2),false,false
