sourceGroup,relativePath,exists,bytes,sha256,access
Stage19,examples/stage19/code5gwb_parameters.cpp,true,4318,190916efdc7d23c4b9e5675aa909d16aba0fd3392d13ffc3354028e6bb22ff6a,READ_ONLY
Stage19,examples/stage19/code5gwb_encoder.cpp,true,4979,da4236033a0eb86c3434b44185faae9a551baa4e4b06474364a4a50d5813ef7f,READ_ONLY
Stage19,examples/stage19/code5gwb_bp_decoder.cpp,true,4005,2c140ce3e647b8da11d8822632cb4f95036add6281f0f362fafdce95a7ad09bd,READ_ONLY
Stage19,examples/stage19/model.h,true,3075,edd69faae4efa4c9bc1324b917a9eca9fb56d90bd93f4d5dc750b55ea5aa13fa,READ_ONLY
Stage19,examples/stage19/example_stage19a_code5gwb_parameter_audit.cpp,true,3006,843cf8ab85954194ecdc50ce873557a087cb452a758f9e9f5d3d9f7fc958f22f,READ_ONLY
Stage19,examples/stage19/example_stage19c_code5gwb_noiseless_bp_selfcheck.cpp,true,6304,5511664f394ad2a5396bb46eae497f9210bc2b5e1468da45707e2846745b5ff3,READ_ONLY
Stage23g,examples/stage23/stage23g_rerun/example_stage23g_real_cpp_formal.cpp,true,14479,c33e50172f18d44090de1fd3aa1e7f11e3a286ce6de185748b5f85dc32faa9b6,READ_ONLY
Stage23g,scripts/stage23/stage23g_rerun/run_stage23g_rerun_real_cpp.py,true,18968,e1eb11474a622c3c5cc1d7cb80d026e9e2212aea7d9734ace4d9bbda23f1a3cf,READ_ONLY
Stage15b,examples/stage15/example_stage15b_cpp_layered_nms_formal.cpp,true,39302,035fb190796592c486d2a2bf48b8c73cb829abd6dc13c546b6b372d4f40ba0d0,READ_ONLY
Stage15b,examples/stage15/stage15b_common.h,true,27922,474c9b18256fd9b1907a83f26d418f23ce8bebb5a8530a0f81fd43f9c0107cda,READ_ONLY
Stage15b,Source files/LDPC.cpp,true,15524,2412bbe64408945cc72b1c7ef73fa0b250830c7bc4bb4b06d3b5cdbae44112eb,READ_ONLY
TABLE,Source files/nrLDPCTables.cpp,true,43439,b89c6c15aba5c544ada0312c1449e45f87dfd2ff703424278e72eaa68199eddf,READ_ONLY
