caseId,pattern,frameIndex,syndromeWeight,bpPayloadErrors,nmsPayloadErrors,bpSyndrome,nmsSyndrome,bpIterations,nmsIterations,bpNanInf,nmsNanInf,status
LDPC_BG2_K300_N480,0,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N480,1,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N480,2,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N480,3,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N480,4,0,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N480,5,1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N560,0,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N560,1,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N560,2,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N560,3,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N560,4,0,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N560,5,1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N640,0,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N640,1,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N640,2,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N640,3,-1,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N640,4,0,0,0,0,0,0,1,1,0,0,PASS
LDPC_BG2_K300_N640,5,1,0,0,0,0,0,1,1,0,0,PASS
