actualLength,decoderType,alpha,snrDb,earlyStopPolicy,frames,correct_valid_frames,wrong_valid_frames,correct_invalid_frames,wrong_invalid_frames
480,DIRECT_LAYERED_MS,1,3,ITERATION_LIMIT_ONLY,180,76,104,0,0
480,DIRECT_LAYERED_MS,1,3,SYNDROME_AFTER_FULL_ITERATION,180,76,104,0,0
480,DIRECT_LAYERED_NMS,0.59999999999999998,3,ITERATION_LIMIT_ONLY,180,27,12,11,130
480,DIRECT_LAYERED_NMS,0.59999999999999998,3,SYNDROME_AFTER_FULL_ITERATION,180,27,12,11,130
480,DIRECT_LAYERED_NMS,0.65000000000000002,3,ITERATION_LIMIT_ONLY,180,33,17,11,119
480,DIRECT_LAYERED_NMS,0.65000000000000002,3,SYNDROME_AFTER_FULL_ITERATION,180,33,17,11,119
480,DIRECT_LAYERED_NMS,0.69999999999999996,3,ITERATION_LIMIT_ONLY,180,38,24,9,109
480,DIRECT_LAYERED_NMS,0.69999999999999996,3,SYNDROME_AFTER_FULL_ITERATION,180,38,24,9,109
480,DIRECT_LAYERED_NMS,0.75,3,ITERATION_LIMIT_ONLY,180,43,34,11,92
480,DIRECT_LAYERED_NMS,0.75,3,SYNDROME_AFTER_FULL_ITERATION,180,43,35,11,91
480,DIRECT_LAYERED_NMS,0.80000000000000004,3,ITERATION_LIMIT_ONLY,180,49,43,14,74
480,DIRECT_LAYERED_NMS,0.80000000000000004,3,SYNDROME_AFTER_FULL_ITERATION,180,49,44,14,73
480,DIRECT_LAYERED_NMS,0.84999999999999998,3,ITERATION_LIMIT_ONLY,180,54,55,12,59
480,DIRECT_LAYERED_NMS,0.84999999999999998,3,SYNDROME_AFTER_FULL_ITERATION,180,54,55,12,59
480,DIRECT_LAYERED_NMS,0.90000000000000002,3,ITERATION_LIMIT_ONLY,180,60,66,9,45
480,DIRECT_LAYERED_NMS,0.90000000000000002,3,SYNDROME_AFTER_FULL_ITERATION,180,60,66,9,45
480,DIRECT_LAYERED_NMS,0.94999999999999996,3,ITERATION_LIMIT_ONLY,180,69,85,3,23
480,DIRECT_LAYERED_NMS,0.94999999999999996,3,SYNDROME_AFTER_FULL_ITERATION,180,69,85,3,23
480,DIRECT_LAYERED_SPA_BP,0,3,ITERATION_LIMIT_ONLY,180,68,77,7,28
480,DIRECT_LAYERED_SPA_BP,0,3,SYNDROME_AFTER_FULL_ITERATION,180,68,77,7,28
560,DIRECT_LAYERED_MS,1,3,ITERATION_LIMIT_ONLY,180,65,115,0,0
560,DIRECT_LAYERED_MS,1,3,SYNDROME_AFTER_FULL_ITERATION,180,63,117,0,0
560,DIRECT_LAYERED_NMS,0.59999999999999998,3,ITERATION_LIMIT_ONLY,180,19,6,18,137
560,DIRECT_LAYERED_NMS,0.59999999999999998,3,SYNDROME_AFTER_FULL_ITERATION,180,19,6,18,137
560,DIRECT_LAYERED_NMS,0.65000000000000002,3,ITERATION_LIMIT_ONLY,180,24,13,18,125
560,DIRECT_LAYERED_NMS,0.65000000000000002,3,SYNDROME_AFTER_FULL_ITERATION,180,24,13,18,125
560,DIRECT_LAYERED_NMS,0.69999999999999996,3,ITERATION_LIMIT_ONLY,180,31,21,16,112
560,DIRECT_LAYERED_NMS,0.69999999999999996,3,SYNDROME_AFTER_FULL_ITERATION,180,31,21,16,112
560,DIRECT_LAYERED_NMS,0.75,3,ITERATION_LIMIT_ONLY,180,38,31,13,98
560,DIRECT_LAYERED_NMS,0.75,3,SYNDROME_AFTER_FULL_ITERATION,180,39,31,13,97
560,DIRECT_LAYERED_NMS,0.80000000000000004,3,ITERATION_LIMIT_ONLY,180,44,43,15,78
560,DIRECT_LAYERED_NMS,0.80000000000000004,3,SYNDROME_AFTER_FULL_ITERATION,180,45,43,15,77
560,DIRECT_LAYERED_NMS,0.84999999999999998,3,ITERATION_LIMIT_ONLY,180,47,50,14,69
560,DIRECT_LAYERED_NMS,0.84999999999999998,3,SYNDROME_AFTER_FULL_ITERATION,180,47,50,14,69
560,DIRECT_LAYERED_NMS,0.90000000000000002,3,ITERATION_LIMIT_ONLY,180,53,69,12,46
560,DIRECT_LAYERED_NMS,0.90000000000000002,3,SYNDROME_AFTER_FULL_ITERATION,180,53,69,12,46
560,DIRECT_LAYERED_NMS,0.94999999999999996,3,ITERATION_LIMIT_ONLY,180,60,87,6,27
560,DIRECT_LAYERED_NMS,0.94999999999999996,3,SYNDROME_AFTER_FULL_ITERATION,180,60,88,6,26
560,DIRECT_LAYERED_SPA_BP,0,3,ITERATION_LIMIT_ONLY,180,55,81,6,38
560,DIRECT_LAYERED_SPA_BP,0,3,SYNDROME_AFTER_FULL_ITERATION,180,54,82,6,38
640,DIRECT_LAYERED_MS,1,-1.5,ITERATION_LIMIT_ONLY,180,30,0,0,150
640,DIRECT_LAYERED_MS,1,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,100,0,0,80
640,DIRECT_LAYERED_NMS,0.59999999999999998,-1.5,ITERATION_LIMIT_ONLY,180,86,0,2,92
640,DIRECT_LAYERED_NMS,0.59999999999999998,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,86,0,2,92
640,DIRECT_LAYERED_NMS,0.65000000000000002,-1.5,ITERATION_LIMIT_ONLY,180,111,0,1,68
640,DIRECT_LAYERED_NMS,0.65000000000000002,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,111,0,1,68
640,DIRECT_LAYERED_NMS,0.69999999999999996,-1.5,ITERATION_LIMIT_ONLY,180,135,0,0,45
640,DIRECT_LAYERED_NMS,0.69999999999999996,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,135,0,0,45
640,DIRECT_LAYERED_NMS,0.75,-1.5,ITERATION_LIMIT_ONLY,180,147,0,0,33
640,DIRECT_LAYERED_NMS,0.75,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,147,0,0,33
640,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,ITERATION_LIMIT_ONLY,180,153,0,0,27
640,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,153,0,0,27
640,DIRECT_LAYERED_NMS,0.84999999999999998,-1.5,ITERATION_LIMIT_ONLY,180,151,0,0,29
640,DIRECT_LAYERED_NMS,0.84999999999999998,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,151,0,0,29
640,DIRECT_LAYERED_NMS,0.90000000000000002,-1.5,ITERATION_LIMIT_ONLY,180,145,0,0,35
640,DIRECT_LAYERED_NMS,0.90000000000000002,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,145,0,0,35
640,DIRECT_LAYERED_NMS,0.94999999999999996,-1.5,ITERATION_LIMIT_ONLY,180,70,0,0,110
640,DIRECT_LAYERED_NMS,0.94999999999999996,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,128,0,0,52
640,DIRECT_LAYERED_SPA_BP,0,-1.5,ITERATION_LIMIT_ONLY,180,159,0,0,21
640,DIRECT_LAYERED_SPA_BP,0,-1.5,SYNDROME_AFTER_FULL_ITERATION,180,159,0,0,21
