actualLength,decoderType,alpha,snrDb,earlyAvgIterations,fixedAvgIterations,earlyWrongValidFrames,fixedWrongValidFrames,earlyFrameErrors,fixedFrameErrors,sameFinalPayloadRate
480,DIRECT_LAYERED_MS,1,3,1.6666666666666667,32.0,104,104,104,104,0.9944444444444445
480,DIRECT_LAYERED_NMS,0.59999999999999998,3,25.372222222222224,32.0,12,12,142,142,1.0
480,DIRECT_LAYERED_NMS,0.65000000000000002,3,23.533333333333335,32.0,17,17,136,136,1.0
480,DIRECT_LAYERED_NMS,0.69999999999999996,3,21.505555555555556,32.0,24,24,133,133,1.0
480,DIRECT_LAYERED_NMS,0.75,3,18.822222222222223,32.0,35,34,126,126,0.9944444444444445
480,DIRECT_LAYERED_NMS,0.80000000000000004,3,16.3,32.0,44,43,117,117,1.0
480,DIRECT_LAYERED_NMS,0.84999999999999998,3,13.6,32.0,55,55,114,114,1.0
480,DIRECT_LAYERED_NMS,0.90000000000000002,3,10.733333333333333,32.0,66,66,111,111,1.0
480,DIRECT_LAYERED_NMS,0.94999999999999996,3,6.044444444444444,32.0,85,85,108,108,0.9944444444444445
480,DIRECT_LAYERED_SPA_BP,0,3,7.555555555555555,32.0,77,77,105,105,0.9944444444444445
560,DIRECT_LAYERED_MS,1,3,1.7444444444444445,32.0,117,115,117,115,0.9888888888888889
560,DIRECT_LAYERED_NMS,0.59999999999999998,3,27.761111111111113,32.0,6,6,143,143,1.0
560,DIRECT_LAYERED_NMS,0.65000000000000002,3,25.75,32.0,13,13,138,138,1.0
560,DIRECT_LAYERED_NMS,0.69999999999999996,3,23.216666666666665,32.0,21,21,133,133,1.0
560,DIRECT_LAYERED_NMS,0.75,3,20.205555555555556,32.0,31,31,128,129,0.9944444444444445
560,DIRECT_LAYERED_NMS,0.80000000000000004,3,17.16111111111111,32.0,43,43,120,121,0.9944444444444445
560,DIRECT_LAYERED_NMS,0.84999999999999998,3,15.63888888888889,32.0,50,50,119,119,1.0
560,DIRECT_LAYERED_NMS,0.90000000000000002,3,11.416666666666666,32.0,69,69,115,115,1.0
560,DIRECT_LAYERED_NMS,0.94999999999999996,3,7.066666666666666,32.0,88,87,114,114,0.9888888888888889
560,DIRECT_LAYERED_SPA_BP,0,3,9.094444444444445,32.0,82,81,120,119,0.9944444444444445
640,DIRECT_LAYERED_MS,1,-1.5,20.072222222222223,32.0,0,0,80,150,0.6111111111111112
640,DIRECT_LAYERED_NMS,0.59999999999999998,-1.5,22.55,32.0,0,0,92,92,1.0
640,DIRECT_LAYERED_NMS,0.65000000000000002,-1.5,18.272222222222222,32.0,0,0,68,68,1.0
640,DIRECT_LAYERED_NMS,0.69999999999999996,-1.5,15.25,32.0,0,0,45,45,1.0
640,DIRECT_LAYERED_NMS,0.75,-1.5,12.994444444444444,32.0,0,0,33,33,1.0
640,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,12.266666666666667,32.0,0,0,27,27,1.0
640,DIRECT_LAYERED_NMS,0.84999999999999998,-1.5,12.688888888888888,32.0,0,0,29,29,1.0
640,DIRECT_LAYERED_NMS,0.90000000000000002,-1.5,13.983333333333333,32.0,0,0,35,35,1.0
640,DIRECT_LAYERED_NMS,0.94999999999999996,-1.5,16.488888888888887,32.0,0,0,52,110,0.6777777777777778
640,DIRECT_LAYERED_SPA_BP,0,-1.5,10.71111111111111,32.0,0,0,21,21,1.0
