caseId,snrDb,alpha,bpFER,nmsFER,nmsMinusBpFER,bpBER,nmsBER,bpAvgIterations,nmsAvgIterations,pairedInput
LDPC_BG2_K300_N480,2.5,1.0,0.83999999999999997,0.83999999999999997,0.0,0.0082333333333333338,0.0088000000000000005,13.27,1.79,true
LDPC_BG2_K300_N480,3.0,1.0,0.59999999999999998,0.60999999999999999,0.010000000000000009,0.0045999999999999999,0.0045999999999999999,8.3399999999999999,1.6899999999999999,true
LDPC_BG2_K300_N480,3.5,1.0,0.40999999999999998,0.41999999999999998,0.010000000000000009,0.0025666666666666667,0.0025999999999999999,3.9100000000000001,1.45,true
LDPC_BG2_K300_N480,4.0,1.0,0.248,0.23999999999999999,-0.008000000000000007,0.0012533333333333333,0.0012266666666666667,2.024,1.304,true
LDPC_BG2_K300_N480,4.5,1.0,0.11363636363636363,0.11363636363636363,0.0,0.00056818181818181815,0.00056818181818181815,1.1174242424242424,1.1022727272727273,true
LDPC_BG2_K300_N480,5.0,1.0,0.051999999999999998,0.051999999999999998,0.0,0.00027333333333333333,0.00027333333333333333,1.048,1.046,true
LDPC_BG2_K300_N480,5.5,1.0,0.024,0.024,0.0,0.00012666666666666666,0.00012666666666666666,1.024,1.026,true
LDPC_BG2_K300_N560,2.5,1.0,0.83999999999999997,0.81000000000000005,-0.029999999999999916,0.0082333333333333338,0.0089333333333333331,14.9,1.96,true
LDPC_BG2_K300_N560,3.0,1.0,0.62,0.57999999999999996,-0.040000000000000036,0.0047000000000000002,0.0048666666666666667,8.1300000000000008,1.79,true
LDPC_BG2_K300_N560,3.5,1.0,0.37,0.37,0.0,0.0023666666666666667,0.0025333333333333332,4.8300000000000001,1.49,true
LDPC_BG2_K300_N560,4.0,1.0,0.22727272727272727,0.22727272727272727,0.0,0.0011363636363636363,0.0011363636363636363,2.606060606060606,1.2272727272727273,true
LDPC_BG2_K300_N560,4.5,1.0,0.11673151750972763,0.12062256809338522,0.0038910505836575876,0.00058365758754863812,0.0005966277561608301,1.2684824902723735,1.1517509727626458,true
LDPC_BG2_K300_N560,5.0,1.0,0.042000000000000003,0.042000000000000003,0.0,0.00024000000000000001,0.00024000000000000001,1.206,1.0840000000000001,true
LDPC_BG2_K300_N560,5.5,1.0,0.021999999999999999,0.021999999999999999,0.0,0.00013999999999999999,0.00013999999999999999,1.032,1.032,true
LDPC_BG2_K300_N640,-3.0,0.8,1,1,0.0,0.12143333333333334,0.14763333333333334,32,32,true
LDPC_BG2_K300_N640,-2.5,0.8,0.90000000000000002,0.90000000000000002,0.0,0.086400000000000005,0.10476666666666666,29.989999999999998,30.390000000000001,true
LDPC_BG2_K300_N640,-2.0,0.8,0.58999999999999997,0.64000000000000001,0.050000000000000044,0.046666666666666669,0.058166666666666665,22.890000000000001,24.609999999999999,true
LDPC_BG2_K300_N640,-1.5,0.8,0.23809523809523808,0.26190476190476192,0.023809523809523836,0.017037037037037038,0.021693121693121695,13.373015873015873,15.206349206349206,true
LDPC_BG2_K300_N640,-1.0,0.8,0.035999999999999997,0.050000000000000003,0.014000000000000005,0.0022866666666666669,0.0029733333333333335,6.6340000000000003,7.5279999999999996,true
LDPC_BG2_K300_N640,-0.5,0.8,0.0060000000000000001,0.0080000000000000002,0.002,0.00033333333333333332,0.00039333333333333332,4.4279999999999999,4.71,true
LDPC_BG2_K300_N640,0.0,0.8,0,0,0.0,0,0,3.278,3.4239999999999999,true
