caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,status
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12439,300,0.13821111111111112,1,32,32,32,32,0,1,1068.6353333333332,947.85000000000002,1559.9849999999999,3776.8000000000002,24.670000000000002,0,0,672,921600,6451200,6451200,12902400,6451200,0,0,0,0,0,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.59999999999999998,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12555,300,0.13950000000000001,1,32,32,32,32,0,1,247.19733333333326,218.90000000000001,376.26499999999999,1023.8,16.626666666666665,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3853925,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.65000000000000002,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12572,300,0.13968888888888889,1,32,32,32,32,0,1,230.26733333333348,204.80000000000001,361.82499999999999,655,14.566666666666666,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3855339,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.69999999999999996,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12600,300,0.14000000000000001,1,32,32,32,32,0,1,242.77333333333334,205.05000000000001,350.90499999999997,2642.1999999999998,12.513333333333334,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3856373,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.75,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12599,300,0.13998888888888888,1,32,32,32,32,0,1,230.11766666666662,203.69999999999999,357.16000000000003,519.89999999999998,10.5,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3856920,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12684,300,0.14093333333333333,1,32,32,32,32,0,1,229.40300000000008,204.94999999999999,346.84500000000003,701.60000000000002,8.3633333333333333,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3859199,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.84999999999999998,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12764,300,0.14182222222222221,1,31.903333333333332,32,32,32,0.0033333333333333335,0.9966666666666667,237.95733333333331,205.09999999999999,376.12,799.89999999999998,6.1100000000000003,0.0033333333333333335,0,672,918816,6431712,6431712,0,0,6431712,12863424,3849119,6431712,6431712,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12876,300,0.14306666666666668,1,30.826666666666668,32,32,32,0.040000000000000001,0.95999999999999996,226.95200000000006,205.09999999999999,354.32500000000005,743.39999999999998,4.0300000000000002,0.040000000000000001,0,672,887808,6214656,6214656,0,0,6214656,12429312,3720348,6214656,6214656,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.94999999999999996,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,12995,300,0.1443888888888889,1,27.963333333333335,32,32,32,0.14000000000000001,0.85999999999999999,202.25533333333334,203.30000000000001,344.47000000000008,647.5,2.1366666666666667,0.14000000000000001,0,672,805344,5637408,5637408,0,0,5637408,11274816,3376013,5637408,5637408,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,300,13112,300,0.1456888888888889,1,3.3066666666666666,3,5,6,1,0,28.781333333333325,26,47.325000000000003,72.299999999999997,0,1,0,672,95232,666624,666624,0,0,666624,1333248,399301,666624,666624,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
