actualLength,alpha,meanFER,meanDecodeTimeUs,meanEdgeMessageUpdatesPerFrame,auditWrongValidFrames,selected,reliabilityGate,decision,reason
480,0.60,0.5733333333333333,158.77906666666667,12859.84,12,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
480,0.65,0.5433333333333333,136.66780000000006,11708.48,17,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
480,0.70,0.5146666666666666,122.04473333333333,10462.144,24,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
480,0.75,0.4906666666666667,105.74759999999995,9170.112000000001,35,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
480,0.80,0.4706666666666666,90.65133333333333,7685.888000000001,44,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
480,0.85,0.45599999999999996,72.12646666666666,6147.008000000001,55,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
480,0.90,0.44266666666666665,58.104266666666675,4829.44,66,True,PASS,FREEZE,best reliability/performance/stability compromise
480,0.95,0.42733333333333334,35.82833333333334,2875.2639999999997,85,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
480,1.00,0.41999999999999993,13.689533333333333,997.6959999999999,104,False,REJECT_MS_WRONG_VALID_RISK,NOT_SELECTED,inferior reliability or curve tradeoff
560,0.60,0.5940000000000001,197.20926666666662,16770.805333333334,6,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
560,0.65,0.5640000000000001,173.58346666666662,15550.901333333333,13,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
560,0.70,0.5386666666666666,158.43646666666672,14190.92266666667,21,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
560,0.75,0.5200000000000001,137.6463333333333,12314.026666666668,31,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
560,0.80,0.5046666666666667,120.37986666666666,10782.090666666667,43,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
560,0.85,0.488,100.07966666666664,8806.933333333334,50,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
560,0.90,0.4753333333333334,77.02146666666664,6623.232000000001,69,True,PASS,FREEZE,best reliability/performance/stability compromise
560,0.95,0.46733333333333327,49.68226666666665,4145.269333333333,88,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
560,1.00,0.46133333333333343,16.4542,1204.7466666666667,117,False,REJECT_MS_WRONG_VALID_RISK,NOT_SELECTED,inferior reliability or curve tradeoff
640,0.60,0.5366666666666666,650.3449333333334,47338.66666666667,0,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
640,0.65,0.454,605.7077333333333,41964.159999999996,0,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
640,0.70,0.4046666666666667,568.9489999999998,38381.653333333335,0,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
640,0.75,0.38266666666666665,550.4437333333333,36631.46666666666,0,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
640,0.80,0.3653333333333334,542.2024,35726.50666666667,0,True,PASS,FREEZE,best reliability/performance/stability compromise
640,0.85,0.368,549.2486666666665,36049.066666666666,0,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
640,0.90,0.382,567.0697333333334,37207.89333333333,0,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
640,0.95,0.41533333333333333,604.4808,39406.08,0,False,PASS,NOT_SELECTED,inferior reliability or curve tradeoff
640,1.00,0.476,657.3581333333336,43105.066666666666,0,False,REJECT_MS_WRONG_VALID_RISK,NOT_SELECTED,inferior reliability or curve tradeoff
