targetFER,leftEsN0Db,leftFER,rightEsN0Db,rightFER,formula,estimatedEsN0Db,computable,reason,actualLength,algorithm
0.5,3.0,0.643,3.5,0.405,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),3.272074049975229,true,,480,DIRECT_LAYERED_SPA_BP
0.1,4.5,0.13651877133105803,5.0,0.05936479667557139,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),4.686903590601618,true,,480,DIRECT_LAYERED_SPA_BP
0.01,5.5,0.025065469509913955,6.0,0.009157089876837141,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),5.95627610676132,true,,480,DIRECT_LAYERED_SPA_BP
0.5,3.0,0.636,3.5,0.408,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),3.270977082173206,true,,480,DIRECT_LAYERED_NMS
0.1,4.5,0.1378839590443686,5.0,0.06173938854259424,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),4.699904250922238,true,,480,DIRECT_LAYERED_NMS
0.01,5.5,0.02494076568150642,6.0,0.009523373471910627,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),5.974637381207588,true,,480,DIRECT_LAYERED_NMS
0.5,,,,,NMS-BP,-0.0010969678020233964,true,,480,NMS_MINUS_BP_SNR_LOSS
0.1,,,,,NMS-BP,0.013000660320619417,true,,480,NMS_MINUS_BP_SNR_LOSS
0.01,,,,,NMS-BP,0.018361274446268006,true,,480,NMS_MINUS_BP_SNR_LOSS
0.5,3.0,0.626,3.5,0.415,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),3.273361301926398,true,,560,DIRECT_LAYERED_SPA_BP
0.1,4.5,0.1059322033898305,5.0,0.052812252442566675,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),4.541396889125361,true,,560,DIRECT_LAYERED_SPA_BP
0.01,5.5,0.018353675323483528,6.0,0.008003521549481772,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),5.865832920136635,true,,560,DIRECT_LAYERED_SPA_BP
0.5,3.0,0.624,3.5,0.419,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),3.2781241548000133,true,,560,DIRECT_LAYERED_NMS
0.1,4.5,0.11175847457627118,5.0,0.05439662001584367,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),4.577197226174598,true,,560,DIRECT_LAYERED_NMS
0.01,5.5,0.018996053959805453,6.0,0.00808355676497659,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),5.875495495398213,true,,560,DIRECT_LAYERED_NMS
0.5,,,,,NMS-BP,0.00476285287361522,true,,560,NMS_MINUS_BP_SNR_LOSS
0.1,,,,,NMS-BP,0.03580033704923746,true,,560,NMS_MINUS_BP_SNR_LOSS
0.01,,,,,NMS-BP,0.009662575261578432,true,,560,NMS_MINUS_BP_SNR_LOSS
0.5,-2.0,0.597,-1.5,0.215,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),-1.9131926730270732,true,,640,DIRECT_LAYERED_SPA_BP
0.1,-1.5,0.215,-1.0,0.03683919690550746,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),-1.283039957307211,true,,640,DIRECT_LAYERED_SPA_BP
0.01,-1.0,0.03683919690550746,-0.5,0.004872988685981714,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),-0.6776888758057196,true,,640,DIRECT_LAYERED_SPA_BP
0.5,-2.0,0.653,-1.5,0.255,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),-1.8580425533761427,true,,640,DIRECT_LAYERED_NMS
0.1,-1.5,0.255,-1.0,0.04512801620924664,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),-1.2297277906110784,true,,640,DIRECT_LAYERED_NMS
0.01,-1.0,0.04512801620924664,-0.5,0.004824741273249222,x=xL+(log10(t)-log10(yL))*(xR-xL)/(log10(yR)-log10(yL)),-0.6629943505869943,true,,640,DIRECT_LAYERED_NMS
0.5,,,,,NMS-BP,0.05515011965093053,true,,640,NMS_MINUS_BP_SNR_LOSS
0.1,,,,,NMS-BP,0.0533121666961327,true,,640,NMS_MINUS_BP_SNR_LOSS
0.01,,,,,NMS-BP,0.014694525218725274,true,,640,NMS_MINUS_BP_SNR_LOSS
