actualLength,esN0Db,berDifferenceNmsMinusBp,ferDifferenceNmsMinusBp,avgIterationDifferenceNmsMinusBp,avgDelayDifferenceUs,p95DelayDifferenceUs,edgeUpdateDifference,operationDifference,wrongValidRateDifference
480,-5.0,0.008800000000000002,0.0,-4.895,-1452.2447,-2951.1749999999997,-3289.4399999999987,34160.778999999995,0.17
480,-4.5,0.008953333333333341,0.0,-5.015999999999998,-1442.2319,-2611.4949999999935,-3370.7520000000004,33620.473,0.174
480,-4.0,0.008850000000000025,0.0,-4.736999999999998,-1397.3017,-2668.624999999999,-3183.263999999999,34856.577999999994,0.164
480,-3.5,0.00827,0.0,-4.654,-1636.6820000000002,-2968.5399999999986,-3127.488000000001,35231.568,0.161
480,-3.0,0.007256666666666661,0.0,-4.818000000000001,-1553.6862,-2642.84,-3237.696,34502.474,0.167
480,-2.5,0.006366666666666659,0.0,-5.867000000000001,-1614.4027999999998,-2598.0699999999997,-3942.624,29862.627999999997,0.203
480,-2.0,0.005656666666666671,0.0,-6.053000000000001,-1903.7290999999998,-2955.8550000000005,-4067.616000000002,29053.883,0.209
480,-1.5,0.005150000000000002,0.0,-6.321999999999999,-1774.1338000000003,-2848.6949999999997,-4248.383999999998,27878.525999999998,0.217
480,-1.0,0.004386666666666664,0.0,-7.457999999999998,-1795.321,-3048.524999999999,-5011.776000000002,22846.929999999993,0.256
480,-0.5,0.003506666666666658,0.0,-9.035,-1923.8233,-2741.994999999999,-6071.52,15876.707999999999,0.309
480,0.0,0.00247,0.0,-11.056999999999999,-1894.3230000000003,-3263.859999999996,-7430.304,6862.129000000001,0.377
480,0.5,0.0016400000000000026,0.0,-12.352,-1947.3586999999998,-3246.179999999999,-8300.543999999998,601.9600000000064,0.419
480,1.0,0.0007500000000000007,0.0010000000000000009,-13.273,-1775.5466000000001,-2719.375,-8919.455999999998,-5717.629000000001,0.448
480,1.5,0.00012999999999999817,-0.007000000000000006,-13.197,-1458.5140000000001,-2699.29,-8868.384,-12353.083999999995,0.436
480,2.0,0.00011333333333333334,-0.009000000000000008,-9.241999999999999,-1172.7394,-2354.75,-6210.624,-5625.653999999995,0.29400000000000004
480,2.5,0.00010333333333333375,0.0,-4.275,-732.5246,-2059.0299999999997,-2872.8,4160.716,0.129
480,3.0,1.000000000000046e-05,-0.007000000000000006,-1.2240000000000002,-361.6203,-1561.2149999999995,-822.5279999999993,8461.945000000003,0.02699999999999997
480,3.5,3.666666666666662e-05,0.002999999999999947,-0.2270000000000003,-170.2414,-1239.6799999999998,-152.54399999999987,5829.058999999999,0.006999999999999951
480,4.0,1.9999999999999836e-05,0.006000000000000005,0.573,-88.36909999999999,-24.855000000001482,385.05600000000004,6376.948,-0.010000000000000009
480,4.5,-4.55062571103526e-06,0.0013651877133105672,0.39317406143344713,-80.06989761092149,-122.38000000000004,264.2129692832764,4518.75494880546,-0.007508532423208189
480,5.0,-9.894132779262178e-07,0.0023745918670228516,0.3398634609676463,-56.59133273968536,-93.10000000000001,228.3882457702582,3545.597209854556,-0.005639655684179276
480,5.5,-3.3254354242008588e-06,-0.00012470382840753386,0.11198403790996392,-50.47493453049009,-88.9,75.25327347549569,2412.757825165233,-0.002244668911335578
480,6.0,3.0523632922790017e-07,0.0003662835950734855,0.06263449475756588,-53.19592509500481,-87.3,42.09038047708441,2104.8035804221417,-0.000732567190146971
480,6.5,2.6666666666666524e-07,0.00013999999999999993,0.01741999999999999,-51.959270000000004,-79.5,11.706240000000093,1860.6985,-0.00023999999999999976
480,7.0,-1.3333333333333347e-07,0.0,0.007419999999999982,-52.723284,-79.5,4.9862399999999525,1808.8433999999997,-0.0001200000000000001
480,7.5,0.0,0.0,0.0019000000000000128,-52.087316,-77.3,1.2767999999999802,1783.9436000000005,-3.9999999999999996e-05
480,8.0,1.333333333333333e-07,4e-05,0.0012400000000001299,-52.609663999999995,-78.5,0.8332800000000589,1781.6807000000003,0.0
480,8.5,6.666666666666667e-08,2e-05,0.0006200000000000649,-51.970746,-77.3,0.41664000000002943,1779.7394200000003,0.0
480,9.0,0.0,0.0,-2.0000000000131024e-05,-47.84455399999999,-70.8,-0.013440000000059626,1777.5697400000004,0.0
480,9.5,0.0,0.0,0.0,-47.00562800000001,-70.1,0.0,1778.1213799999996,0.0
480,10.0,0.0,0.0,0.0,-47.55976799999999,-68.4,0.0,1778.5169999999998,0.0
560,-5.0,0.00961999999999999,0.0,-3.5360000000000014,-1703.1128999999999,-2841.014999999999,-2772.2239999999983,46869.69399999999,0.123
560,-4.5,0.009550000000000003,0.0,-3.8859999999999992,-1822.9926999999996,-2722.4799999999996,-3046.624,45072.913,0.135
560,-4.0,0.008643333333333336,0.0,-3.8099999999999987,-1869.4765,-2819.2750000000005,-2987.040000000001,45475.45300000001,0.132
560,-3.5,0.008289999999999992,0.0,-3.530999999999999,-1635.992,-2501.7149999999992,-2768.304,46919.79999999999,0.123
560,-3.0,0.007236666666666669,0.0,-3.835000000000001,-1754.0238000000004,-2779.18,-3006.6399999999994,45356.07999999999,0.133
560,-2.5,0.006886666666666652,0.0,-4.013999999999999,-1809.9452999999999,-2830.32,-3146.9759999999987,44441.84599999999,0.139
560,-2.0,0.006650000000000003,0.0,-4.5219999999999985,-1824.2232,-2817.0199999999995,-3545.2479999999996,41822.90299999999,0.156
560,-1.5,0.005113333333333331,0.0,-5.263000000000002,-1737.8390000000002,-2546.195,-4126.191999999999,38009.418999999994,0.182
560,-1.0,0.004133333333333336,0.0,-5.670000000000002,-1708.9252,-2485.3749999999995,-4445.279999999999,35913.07500000001,0.195
560,-0.5,0.0032100000000000045,0.0,-6.681000000000001,-1700.0531,-2373.4049999999997,-5237.903999999999,30692.684999999998,0.229
560,0.0,0.002353333333333339,0.0,-8.609000000000002,-1775.0971000000002,-2507.4400000000005,-6749.455999999998,20734.985,0.295
560,0.5,0.00150666666666667,0.0,-10.137,-1859.1852,-2712.205,-7947.407999999999,12702.678,0.344
560,1.0,0.0007966666666666677,0.0010000000000000009,-11.332,-1803.5004000000001,-2512.9449999999997,-8884.287999999999,5204.2530000000115,0.38399999999999995
560,1.5,0.0006533333333333322,-0.0010000000000000009,-13.167,-1658.1417999999999,-2529.1499999999996,-10322.928,-8969.180999999997,0.44000000000000006
560,2.0,0.00024333333333333325,0.0,-10.204,-1310.649,-2374.2999999999993,-7999.936,-5806.008000000002,0.32799999999999996
560,2.5,0.00011666666666666596,-0.0010000000000000009,-5.408000000000001,-677.3961,-1700.9450000000002,-4239.872,1504.434000000001,0.15899999999999997
560,3.0,4.333333333333359e-05,-0.0020000000000000018,-1.3040000000000003,-374.56630000000007,-1585.6099999999997,-1022.3360000000002,10989.876999999997,0.035999999999999976
560,3.5,3.000000000000008e-05,0.0040000000000000036,0.11299999999999999,-168.9644,-1239.879999999999,88.5920000000001,8668.915,0.009000000000000008
560,4.0,1.6666666666666783e-05,0.0030000000000000027,0.5720000000000001,-99.90010000000001,99.95499999999993,448.4480000000001,8100.327,-0.01100000000000001
560,4.5,1.5889830508474543e-05,0.005826271186440676,0.5381355932203389,-52.996451271186444,-93.90000000000002,421.89830508474574,5936.854872881356,-0.004237288135593223
560,5.0,8.802042073761387e-07,0.0015843675732769985,0.26696593609717434,-51.56437813572749,-95.57000000000001,209.301293900185,3928.226300501716,-0.003168735146553997
560,5.5,1.2235783548988964e-06,0.0006423786363219247,0.13838671193906582,-45.97231348077452,-74.98000000000012,108.49518216022761,2939.3325685968616,-0.0007341470129393415
