checkpoint,chunks,hashValid
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m00p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m01p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m01p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m02p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m02p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m03p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m03p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m04p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m04p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m05p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p00p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p00p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p01p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p01p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p02p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p02p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p03p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p03p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p04p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p04p5/point_checkpoint_final.json,3,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p05p0/point_checkpoint_final.json,7,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p05p5/point_checkpoint_final.json,17,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p06p0/point_checkpoint_final.json,44,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p06p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p07p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p07p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p08p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p08p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p09p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p09p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p10p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m00p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m01p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m01p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m02p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m02p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m03p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m03p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m04p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m04p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m05p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p00p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p00p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p01p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p01p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p02p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p02p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p03p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p03p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p04p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p04p5/point_checkpoint_final.json,4,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p05p0/point_checkpoint_final.json,8,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p05p5/point_checkpoint_final.json,22,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p06p0/point_checkpoint_final.json,50,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p06p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p07p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p07p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p08p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p08p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p09p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p09p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p10p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m00p5/point_checkpoint_final.json,83,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m01p0/point_checkpoint_final.json,11,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m01p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m02p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m02p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m03p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m03p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m04p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m04p5/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_m05p0/point_checkpoint_final.json,2,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p00p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p00p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p01p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p01p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p02p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p02p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p03p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p03p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p04p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p04p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p05p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p05p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p06p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p06p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p07p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p07p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p08p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p08p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p09p0/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p09p5/point_checkpoint_final.json,100,true
Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n640_snr_p10p0/point_checkpoint_final.json,100,true
