targetPointIndex,metric,algorithm,targetErrorRate,commonValidRangeMax,commonValidRangeMin,targetPointGenerationMethod
0,BER,BP,0.2034433333333333,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
1,BER,BP,0.1264928966052788,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
2,BER,BP,0.0786482045365315,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
3,BER,BP,0.048900295928253394,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
4,BER,BP,0.0304042407066018,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
5,BER,BP,0.018904136169263477,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
6,BER,BP,0.011753832886491348,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
7,BER,BP,0.0073080613833172705,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
8,BER,BP,0.004543859156251447,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
9,BER,BP,0.002825189191620913,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
10,BER,BP,0.0017565892106207568,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
11,BER,BP,0.0010921766457342738,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
12,BER,BP,0.0006790715884369062,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
13,BER,BP,0.0004222194495948031,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
14,BER,BP,0.0002625191020382406,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
15,BER,BP,0.0001632238377485974,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
16,BER,BP,0.00010148602902618316,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
17,BER,BP,6.309993827841972e-05,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
18,BER,BP,3.923300821744777e-05,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
19,BER,BP,2.439350934066983e-05,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
20,BER,BP,1.516690473122368e-05,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
21,BER,BP,9.43017242469872e-06,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
22,BER,BP,5.8633026009898e-06,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
23,BER,BP,3.6455661511270854e-06,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
24,BER,BP,2.2666666666666673e-06,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
